passer,season,team,plays,qb_epa,headshot_href
J.Goff,2017,LA,537,0.106991945,https://a.espncdn.com/i/headshots/nfl/players/full/3046779.png
J.Goff,2018,LA,663,0.177305188,https://a.espncdn.com/i/headshots/nfl/players/full/3046779.png
J.Goff,2019,LA,771,0.069140108,https://a.espncdn.com/i/headshots/nfl/players/full/3046779.png
J.Goff,2020,LA,596,0.029340742,https://a.espncdn.com/i/headshots/nfl/players/full/3046779.png
J.Herbert,2020,LAC,614,0.127519402,https://a.espncdn.com/i/headshots/nfl/players/full/4038941.png
J.McCown,2014,TB,378,-0.090920232,https://a.espncdn.com/i/headshots/nfl/players/full/3609.png
J.McCown,2015,CLE,331,0.029496212,https://a.espncdn.com/i/headshots/nfl/players/full/3609.png
J.McCown,2017,NYJ,446,0.044053468,https://a.espncdn.com/i/headshots/nfl/players/full/3609.png
J.Rosen,2018,ARI,452,-0.326042701,https://a.espncdn.com/i/headshots/nfl/players/full/3886377.png
J.Winston,2015,TB,546,0.109902589,https://a.espncdn.com/i/headshots/nfl/players/full/2969939.png
J.Winston,2016,TB,646,0.108588624,https://a.espncdn.com/i/headshots/nfl/players/full/2969939.png
J.Winston,2017,TB,537,0.061418559,https://a.espncdn.com/i/headshots/nfl/players/full/2969939.png
J.Winston,2018,TB,443,0.133815963,https://a.espncdn.com/i/headshots/nfl/players/full/2969939.png
J.Winston,2019,TB,707,0.06354197,https://a.espncdn.com/i/headshots/nfl/players/full/2969939.png
K.Allen,2019,CAR,555,-0.041447733,https://a.espncdn.com/i/headshots/nfl/players/full/3115293.png
K.Cousins,2015,WAS,561,0.144731898,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
K.Cousins,2016,WAS,664,0.184748987,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
K.Cousins,2017,WAS,643,-0.007397549,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
K.Cousins,2018,MIN,665,-0.032297625,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
K.Cousins,2019,MIN,484,0.168050006,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
K.Cousins,2020,MIN,600,0.110242033,https://a.espncdn.com/i/headshots/nfl/players/full/14880.png
K.Murray,2019,ARI,617,-0.009909774,https://a.espncdn.com/i/headshots/nfl/players/full/3917315.png
K.Murray,2020,ARI,615,0.075440166,https://a.espncdn.com/i/headshots/nfl/players/full/3917315.png
K.Orton,2014,BUF,484,-0.016544032,https://a.espncdn.com/i/headshots/nfl/players/full/8520.png
L.Jackson,2019,BAL,498,0.337327703,https://a.espncdn.com/i/headshots/nfl/players/full/3916387.png
L.Jackson,2020,BAL,500,0.124649963,https://a.espncdn.com/i/headshots/nfl/players/full/3916387.png
M.Barkley,2016,CHI,208,0.032096742,
M.Cassel,2015,DAL,228,-0.159895431,
M.Glennon,2013,TB,467,-0.06669786,https://a.espncdn.com/i/headshots/nfl/players/full/15837.png
M.Mariota,2015,TEN,421,0.018487884,https://a.espncdn.com/i/headshots/nfl/players/full/2576980.png
M.Mariota,2016,TEN,498,0.116595105,https://a.espncdn.com/i/headshots/nfl/players/full/2576980.png
M.Mariota,2017,TEN,501,-0.025991467,https://a.espncdn.com/i/headshots/nfl/players/full/2576980.png
M.Mariota,2018,TEN,495,0.054522602,https://a.espncdn.com/i/headshots/nfl/players/full/2576980.png
M.Rudolph,2019,PIT,309,-0.099649012,https://a.espncdn.com/i/headshots/nfl/players/full/3116407.png
M.Ryan,2013,ATL,701,0.037811247,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2014,ATL,678,0.083332304,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2015,ATL,621,0.095856063,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2016,ATL,591,0.293912802,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2017,ATL,711,0.21922023,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2018,ATL,746,0.160783126,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2019,ATL,690,0.04100317,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Ryan,2020,ATL,639,0.096315791,https://a.espncdn.com/i/headshots/nfl/players/full/11237.png
M.Schaub,2013,HOU,383,-0.115731055,https://a.espncdn.com/i/headshots/nfl/players/full/5615.png
M.Stafford,2013,DET,670,0.071099875,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2014,DET,663,0.056791962,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2015,DET,663,0.015154717,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2016,DET,658,0.147230936,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2017,DET,713,0.056511242,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2018,DET,610,0.000895929,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2019,DET,316,0.214961504,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Stafford,2020,DET,543,0.110049789,https://a.espncdn.com/i/headshots/nfl/players/full/12483.png
M.Trubisky,2017,CHI,381,-0.10170437,https://a.espncdn.com/i/headshots/nfl/players/full/3039707.png
M.Trubisky,2018,CHI,497,0.152637384,https://a.espncdn.com/i/headshots/nfl/players/full/3039707.png
M.Trubisky,2019,CHI,621,-0.045272226,https://a.espncdn.com/i/headshots/nfl/players/full/3039707.png
N.Foles,2013,PHI,368,0.294616161,https://a.espncdn.com/i/headshots/nfl/players/full/14877.png
N.Foles,2014,PHI,361,-0.011315158,https://a.espncdn.com/i/headshots/nfl/players/full/14877.png
N.Foles,2015,LA,354,-0.282248632,https://a.espncdn.com/i/headshots/nfl/players/full/14877.png
N.Foles,2020,CHI,333,-0.129576646,https://a.espncdn.com/i/headshots/nfl/players/full/14877.png
N.Mullens,2018,SF,289,0.109975207,https://a.espncdn.com/i/headshots/nfl/players/full/3059989.png
N.Mullens,2020,SF,349,0.001578803,https://a.espncdn.com/i/headshots/nfl/players/full/3059989.png
P.Mahomes,2018,KC,634,0.357451582,https://a.espncdn.com/i/headshots/nfl/players/full/3139477.png
P.Mahomes,2019,KC,608,0.249307558,https://a.espncdn.com/i/headshots/nfl/players/full/3139477.png
P.Mahomes,2020,KC,783,0.310825722,https://a.espncdn.com/i/headshots/nfl/players/full/3139477.png
P.Manning,2013,DEN,677,0.373973173,https://a.espncdn.com/i/headshots/nfl/players/full/1428.png
P.Manning,2014,DEN,745,0.167462353,https://a.espncdn.com/i/headshots/nfl/players/full/1428.png
P.Manning,2015,DEN,383,-0.130061167,https://a.espncdn.com/i/headshots/nfl/players/full/1428.png
P.Rivers,2013,LAC,587,0.277563244,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2014,LAC,677,0.130191864,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2015,LAC,672,0.082552553,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2016,LAC,621,0.049563845,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2017,LAC,633,0.176401356,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2018,LAC,552,0.222420464,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2019,LAC,720,0.083874294,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
P.Rivers,2020,IND,535,0.17214835,https://a.espncdn.com/i/headshots/nfl/players/full/5529.png
R.Fitzpatrick,2013,TEN,397,0.110987888,https://a.espncdn.com/i/headshots/nfl/players/full/8664.png
R.Fitzpatrick,2014,HOU,362,0.090524669,https://a.espncdn.com/i/headshots/nfl/players/full/8664.png
R.Fitzpatrick,2015,NYJ,573,0.138096725,https://a.espncdn.com/i/headshots/nfl/players/full/8664.png
R.Fitzpatrick,2016,NYJ,447,-0.096317998,https://a.espncdn.com/i/headshots/nfl/players/full/8664.png
R.Fitzpatrick,2019,MIA,576,0.040394841,https://a.espncdn.com/i/headshots/nfl/players/full/8664.png
R.Fitzpatrick,2020,MIA,297,0.185102203,https://a.espncdn.com/i/headshots/nfl/players/full/8664.png
R.Griffin III,2013,WAS,531,0.007116031,https://a.espncdn.com/i/headshots/nfl/players/full/14875.png
R.Griffin III,2014,WAS,265,-0.168362113,https://a.espncdn.com/i/headshots/nfl/players/full/14875.png
R.Tannehill,2013,MIA,657,0.005867173,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Tannehill,2014,MIA,642,0.029196761,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Tannehill,2015,MIA,597,-0.037950163,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Tannehill,2016,MIA,472,0.067217607,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Tannehill,2018,MIA,314,-0.153318269,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Tannehill,2019,TEN,330,0.224083647,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Tannehill,2020,TEN,565,0.223929465,https://a.espncdn.com/i/headshots/nfl/players/full/14876.png
R.Wilson,2013,SEA,501,0.174010606,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
R.Wilson,2014,SEA,626,0.125031394,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
R.Wilson,2015,SEA,645,0.213969754,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
R.Wilson,2016,SEA,700,0.070786717,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
R.Wilson,2017,SEA,756,0.078899702,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
R.Wilson,2018,SEA,500,0.172451594,https://a.espncdn.com/i/headshots/nfl/players/full/14881.png
